Day,Period,Course,Teacher
Monday,1,PE,Wen
Monday,2,Literature,CYF
Monday,3,Group 3 AP,"Chloe,Manuel"
Monday,4,Group 3 AP,"Chloe,Manuel"
Monday,5,Cal-ABBC,"Yan,Song"
Monday,6,Cal-ABBC,"Yan,Song"
Tuesday,1,Group 3 AP,"Chloe,Manuel"
Tuesday,2,English,CYF
Tuesday,3,English,CYF
Tuesday,4,Group 1 AP,"Guo,Zhao,Shiwen"
Tuesday,5,Group 2 AP,"Neil,Guo"
Tuesday,6,Group 2 AP,"Neil,Guo"
Tuesday,7,Art,Shiwen
Tuesday,8,Spanish,AK
Wednesday,1,Group 1 AP,"Guo,Zhao,Shiwen"
Wednesday,2,Group 1 AP,"Guo,Zhao,Shiwen"
Wednesday,3,English,CYF
Wednesday,4,English,CYF
Wednesday,5,Group 2 AP,"Neil,Guo"
Wednesday,6,Group 2 AP,"Neil,Guo"
Wednesday,7,Art,Shiwen
Wednesday,8,Spanish,AK
Thursday,1,Group 3 AP,"Chloe,Manuel"
Thursday,2,Group 3 AP,"Chloe,Manuel"
Thursday,3,Literature,CYF
Thursday,4,Spanish,AK
Thursday,5,Cal-ABBC,"Yan,Song"
Thursday,6,Cal-ABBC,"Yan,Song"
Friday,1,Literature,CYF
Friday,2,English,CYF
Friday,3,PE,Wen
Friday,4,Group 2 AP,"Neil,Guo"
Friday,5,Group 1 AP,"Guo,Zhao,Shiwen"
Friday,6,Group 1 AP,"Guo,Zhao,Shiwen"
Friday,7,Cal-ABBC,"Yan,Song"
