Day,Period,Course,Teacher
Monday,1,Geography,Manuel
Monday,2,PE,Wen
Monday,3,Social,Darin
Monday,4,[Free],
Monday,5,Physics,Guo
Monday,6,Algebra,Yuhan
Tuesday,1,Art,Shiwen
Tuesday,2,Algebra,Yuhan
Tuesday,3,Psychology,Chloe
Tuesday,4,[Free],
Tuesday,5,Biology,Zhao
Tuesday,6,Physics,Guo
Wednesday,1,Algebra,Yuhan
Wednesday,2,Psychology,Chloe
Wednesday,3,Geography,Manuel
Wednesday,4,[Free],
Wednesday,5,[Free],
Wednesday,6,Chemistry,Shao
Wednesday,7,Physics,Guo
Wednesday,8,Social,Darin
Thursday,1,Biology,Zhao
Thursday,2,Algebra,Yuhan
Thursday,3,Art,Shiwen
Thursday,4,Chemistry,Shao
Thursday,5,[Free],
Thursday,6,Social,Darin
Friday,1,PE,Wen
Friday,2,Chemistry,Shao
Friday,3,Algebra,Yuhan
Friday,4,Psychology,Chloe
Friday,5,Social,Darin
Friday,6,[Free],
Friday,7,Biology,Zhao
