Day,Period,Course,Teacher
Monday,1,Spanish,AK
Monday,2,Literature,CYF
Monday,3,Group 1 AP,"Guo,Zhao,Shiwen"
Monday,4,Group 1 AP,"Guo,Zhao,Shiwen"
Monday,5,Art,Shiwen
Monday,6,English,CYF
Tuesday,1,Group 2 AP,"Neil,Guo"
Tuesday,2,Group 2 AP,"Neil,Guo"
Tuesday,3,English,CYF
Tuesday,4,Art,Shiwen
Tuesday,5,Spanish,AK
Tuesday,6,Cal-ABBC,Yan
Tuesday,7,Cal-ABBC,Yan
Tuesday,8,Literature,CYF
Wednesday,1,Literature,CYF
Wednesday,2,Spanish,AK
Wednesday,3,Group 1 AP,"Guo,Zhao,Shiwen"
Wednesday,4,Group 1 AP,"Guo,Zhao,Shiwen"
Wednesday,5,Group 3 AP,"Chloe,Manuel"
Wednesday,6,English,CYF
Wednesday,7,PE,Wen
Wednesday,8,Group 2 AP,"Neil,Guo"
Thursday,1,PE,Wen
Thursday,2,English,CYF
Thursday,3,Cal-ABBC,Yan
Thursday,4,Cal-ABBC,Yan
Thursday,5,Group 3 AP,"Chloe,Manuel"
Thursday,6,Group 3 AP,"Chloe,Manuel"
Friday,1,Group 2 AP,"Neil,Guo"
Friday,2,Group 2 AP,"Neil,Guo"
Friday,3,Cal-ABBC,Yan
Friday,4,Group 1 AP,"Guo,Zhao,Shiwen"
Friday,5,Group 3 AP,"Chloe,Manuel"
Friday,6,Group 3 AP,"Chloe,Manuel"
Friday,7,English,CYF
